"duration"	"psurvive"	"log10p"
0.524	0.8365	-0.0775340547015867
0.526	0.8361	-0.0777417765670334
0.528	0.8359	-0.0778456747689412
0.53	0.8352	-0.078209514341813
0.532	0.8347	-0.0784695864987576
0.534	0.834	-0.0788339493622613
0.536	0.8336	-0.0790422940445507
0.538	0.8326	-0.0795635934492414
0.54	0.8319	-0.0799288757024759
0.542	0.8313	-0.0802422194981058
0.544	0.831	-0.080398976215889
0.546	0.8306	-0.0806080732261406
0.548	0.8296	-0.0811312566190154
0.55	0.8289	-0.0814978603638262
0.552	0.8284	-0.081759909778585
0.554	0.828	-0.0819696632151199
0.556	0.8271	-0.0824419791745639
0.558	0.8269	-0.0825470080703365
0.56	0.8263	-0.0828622472435557
0.562	0.8255	-0.0832829224011876
0.564	0.8252	-0.083440780698886
0.566	0.8241	-0.0840200858597756
0.568	0.8237	-0.0842309340163159
0.57	0.8228	-0.0847057169773136
0.572	0.8225	-0.0848640933779881
0.574	0.8217	-0.0852867130263762
0.576	0.8212	-0.0855510593014457
0.578	0.8209	-0.085709744334051
0.58	0.8205	-0.085921414610888
0.582	0.8196	-0.0863980502708426
0.584	0.8194	-0.0865040403828765
0.586	0.8191	-0.0866630740673768
0.588	0.8184	-0.0870343792958962
0.59	0.8179	-0.0872997918091397
0.592	0.8176	-0.0874591172093625
0.594	0.817	-0.0877779434675845
0.596	0.8162	-0.0882034095627479
0.598	0.816	-0.0883098412461389
0.6	0.8156	-0.0885227828938976
0.602	0.8149	-0.088895682195964
0.604	0.8144	-0.0891622350073165
0.606	0.8139	-0.0894289515187415
0.608	0.8132	-0.089802630033999
0.61	0.8124	-0.0902300852672309
0.612	0.8118	-0.0905509530187334
0.614	0.8114	-0.0907649966316926
0.616	0.8107	-0.0911398269827235
0.618	0.8101	-0.0914613678280406
0.62	0.8094	-0.0918367999444521
0.622	0.8087	-0.0922125568893838
0.624	0.808	-0.0925886392254138
0.626	0.8076	-0.0928036897283983
0.628	0.8074	-0.0929112549257044
0.63	0.8068	-0.0932341104592722
0.632	0.8061	-0.0936110788471691
0.634	0.8055	-0.0939344552447632
0.636	0.8049	-0.0942580726083986
0.638	0.8043	-0.094581931297458
0.64	0.8039	-0.0947979713376814
0.642	0.8034	-0.0950681726043474
0.644	0.8028	-0.0953926361845521
0.646	0.8024	-0.0956090799876383
0.648	0.8021	-0.0957714836599215
0.65	0.8017	-0.0959881164026118
0.652	0.801	-0.0963674839157623
0.654	0.8004	-0.0966929200358262
0.656	0.7999	-0.0969643032115027
0.658	0.7991	-0.0973988693334687
0.66	0.7987	-0.0976163155675285
0.662	0.7981	-0.0979426891915334
0.664	0.7975	-0.0982693082707813
0.666	0.7968	-0.0986506745843577
0.668	0.7959	-0.0991414952980084
0.67	0.7954	-0.0994144133500385
0.672	0.7949	-0.0996875030162734
0.674	0.7941	-0.100124803978989
0.676	0.7932	-0.100617294466735
0.678	0.7929	-0.100781582148627
0.68	0.7922	-0.101165161931726
0.682	0.7916	-0.101494214465641
0.684	0.791	-0.101823516502323
0.686	0.7905	-0.102098125731772
0.688	0.7903	-0.102208018060775
0.69	0.7898	-0.102482870599475
0.692	0.7893	-0.102757897194635
0.694	0.7887	-0.103088159173975
0.696	0.7881	-0.103418672494267
0.698	0.787	-0.104025267640935
0.7	0.7867	-0.104190849830869
0.702	0.7861	-0.104522203724285
0.704	0.7856	-0.104798525221107
0.706	0.7851	-0.105075022640457
0.708	0.7847	-0.10529634739077
0.71	0.784	-0.105683937315562
0.712	0.7836	-0.105905572677301
0.714	0.783	-0.106238237942057
0.716	0.7827	-0.106404666180117
0.718	0.7818	-0.106904333903772
0.72	0.7813	-0.107182175690424
0.722	0.7806	-0.10757145305477
0.724	0.7798	-0.108016769148033
0.726	0.7792	-0.108351056129441
0.728	0.7788	-0.108574057152006
0.73	0.7784	-0.108797172739705
0.732	0.7781	-0.108964584684689
0.734	0.7773	-0.109411332294513
0.736	0.7769	-0.109634878551876
0.738	0.7763	-0.109970413836583
0.74	0.7761	-0.110082316563794
0.742	0.7757	-0.110306208555815
0.744	0.775	-0.11069829749369
0.746	0.7744	-0.111034655699663
0.748	0.774	-0.111259039317107
0.75	0.7732	-0.111708154643485
0.752	0.7725	-0.112101511903128
0.754	0.7721	-0.112326447545553
0.756	0.7715	-0.112664069600833
0.758	0.771	-0.112945621949043
0.76	0.7707	-0.113114641013991
0.762	0.7703	-0.113340102138797
0.764	0.7697	-0.11367851344052
0.766	0.7692	-0.113960724433558
0.768	0.7687	-0.114243118930733
0.77	0.7679	-0.114695332411032
0.772	0.7674	-0.114978205137702
0.774	0.767	-0.115204636051019
0.776	0.7665	-0.115487840809606
0.778	0.7663	-0.115601174443314
0.78	0.7661	-0.115714537660325
0.782	0.7652	-0.116225038644742
0.784	0.765	-0.116338564846382
0.786	0.7639	-0.11696348997232
0.788	0.7631	-0.117418546445549
0.79	0.763	-0.11747546204512
0.792	0.7627	-0.117646253611286
0.794	0.7621	-0.117988038373341
0.796	0.7619	-0.118102026426989
0.798	0.7614	-0.118387127521652
0.8	0.7607	-0.118786583744981
0.802	0.7599	-0.11924355548979
0.804	0.7594	-0.119529407196222
0.806	0.7587	-0.119929915935933
0.808	0.7582	-0.120216219909584
0.81	0.7575	-0.120617362825657
0.812	0.757	-0.120904120499927
0.814	0.7563	-0.121305899603892
0.816	0.7559	-0.121535654658531
0.818	0.7548	-0.122168108507106
0.82	0.7539	-0.122686256687762
0.822	0.7534	-0.122974384132751
0.824	0.7528	-0.1233203895808
0.826	0.752	-0.123782159408358
0.828	0.751	-0.124360062995832
0.832	0.7503	-0.124765053549835
0.834	0.7499	-0.124996646399959
0.836	0.7495	-0.125228362815702
0.838	0.7493	-0.125344267401899
0.84	0.749	-0.125518182300534
0.842	0.7482	-0.125982296137814
0.844	0.7476	-0.126330707293206
0.846	0.7473	-0.126505017743831
0.848	0.7466	-0.126912014409714
0.85	0.7459	-0.12731939284807
0.852	0.7455	-0.127552352210987
0.854	0.7449	-0.127902025725773
0.856	0.7445	-0.128135297911805
0.858	0.7439	-0.128485441291618
