"duration"	"psurvive"	"log10p"
0.272	0.710296385129347	-0.148560395552318
0.274	0.709611101593284	-0.148979598752726
0.276	0.708411855405174	-0.149714179421594
0.278	0.707726571869111	-0.150134498333574
0.28	0.707212609217064	-0.150450004691005
0.282	0.706527325681	-0.150871036698681
0.284	0.70532807949289	-0.151608826312674
0.286	0.703957512420764	-0.152453552048289
0.288	0.703443549768717	-0.152770748275587
0.29	0.702244303580607	-0.153511774993658
0.292	0.702072982696591	-0.153617739244984
0.294	0.701730340928559	-0.153829745342386
0.296	0.700702415624465	-0.154466385302818
0.298	0.700531094740449	-0.154572582755824
0.3	0.699160527668323	-0.155423098536889
0.302	0.69847524413226	-0.155848981858003
0.304	0.697618639712181	-0.156381923981458
0.306	0.696762035292102	-0.156915520905572
0.308	0.695734109988008	-0.157556703820123
0.31	0.694706184683913	-0.158198834762985
