"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
81824	Perissodactyla	Rhinocerotidae	Teleoceratinae	Teleoceras	guymonense	Teleoceras guymonense	1540858	hyp	L2212	Teleoceras guymonense	5	2	2.44	8.33	5.89	1.28335536	1.0074339576	1.13285275300897	37.4	20.6	-99.8	-106	1.345
81840	Proboscidea	Gomphotheriidae		Gnathabelodon	thorpei	Gnathabelodon thorpei	NA	bra	R3300	Gnathabelodon thorpei	1	1	0	8.33	8.33	0	0	0	37.4	37.4	-99.8	-99.8	0
81848	Proboscidea	Gomphotheriidae		Amebelodon	floridanus	Amebelodon floridanus	NA	bra	R3300	Amebelodon floridanus	5	1	2.92	8.33	5.41	3.0457512	2.390914692	1.74520806782458	40.1	28.1	-81.6	-102.2	2.19
82048	Carnivora	Canidae	Borophaginae	Epicyon	aelurodontoides	Epicyon aelurodontoides	28000			Epicyon aelurodontoides	1	1	0	8.33	8.33	0	0	0	37.4	37.4	-99.8	-99.8	0
83294	Rodentia	Sciuridae	Sciurinae	Spermophilus	fricki	Spermophilus fricki	NA	mes	NA	Spermophilus fricki	1	1	0	8.33	8.33	0	0	0	37.4	37.4	-99.8	-99.8	0
82201	Carnivora	Mustelidae	Leptarctinae	Leptarctus	woodburnei	Leptarctus woodburnei	NA			Leptarctus woodburnei	1	1	0	7.23	7.23	0	0	0	39.1	39.1	-95.7	-95.7	0
80531	Carnivora	Felidae	Machairodontinae	Adelphailurus	kansensis	Adelphailurus kansensis	44874			Adelphailurus kansensis	4	2	0.98	6.39	5.41	1.5820164	1.241882874	1.25778233411032	39.2	28.5	-101.5	-113.5	0.49
81676	Perissodactyla	Equidae	Equinae	Astrohippus	ansae	Astrohippus ansae	202000	hyp	L2323	Astrohippus ansae	6	1	2.44	8.33	5.89	0.92111796	0.7230775986	0.959748904662048	39.2	30.3	-97.8	-106.2	0.735
81850	Proboscidea	Gomphotheriidae	Amebelodontinae	Konobelodon	britti	Konobelodon britti	NA	bra	R3300	Konobelodon britti	5	1	1.94	8.33	6.39	3.33701964	2.6195604174	1.82675111605276	39.2	28.1	-81.6	-106	0.630000000000001
82606	Rodentia	Heteromyidae	Perognathinae	Perognathus	dunklei	Perognathus dunklei	NA	mes	NA	Perognathus dunklei	1	1	0	6.39	6.39	0	0	0	39.2	39.2	-101.5	-101.5	0
