"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
83290	Rodentia	Sciuridae	Sciurinae	Spermophilus	boothi	Spermophilus boothi	NA	mes	NA	Spermophilus boothi	3	1	1.56	3.77	2.21	0.0209457	0.0164423745	0.144726293395499	40.8	39.1	-95.7	-96.7	1.04
83491	Cimolesta	Palaeoryctidae	Palaeoryctinae	Palaeoryctes	punctatus	Palaeoryctes punctatus	NA	bra	NA	Palaeoryctes punctatus	7	2	7	61.92	54.92	2.23946496	1.7579799936	1.49648419971612	54.5	41.7	-100.8	-115	4.745
22241	Chiroptera	Rhinolophidae		Rhinolophus	kowalskii	Rhinolophus kowalskii	NA	NA	NA	Rhinolophus kowalskii	4	2	3.18	6.2	3.02	0.63268335	0.49665642975	0.79541394883419	51	44.5	19.5	11.6	2.1225
81646	Perissodactyla	Equidae	Equinae	Cormohipparion	occidentale	Cormohipparion occidentale	289000	hyp	L2323	Cormohipparion occidentale	22	2	6.45	12.34	5.89	15.90739668	12.4873063938	3.98840778757639	45.6	13.8	-81.6	-122.2	2.96
82952	Rodentia	Cylindrodontidae	Jaywilsonomyinae	Pareumys	grangeri	Pareumys grangeri	NA	mes	NA	Pareumys grangeri	3	1	2.59	46.67	44.08	0.68233698	0.5356345293	0.826036912008174	40.7	32.9	-110	-117.1	1.295
83710	Eulipotyphla	Talpidae	Talpinae	Domninoides	platybrachys	Domninoides platybrachys	NA	bra	NA	Domninoides platybrachys	2	1	2.58	13.68	11.1	0.10029294	0.0787299579	0.316690606112654	42.8	39.1	-97.6	-99.8	1.29
83422	Multituberculata	Eucosmodontidae	NA	Stygimys	vastus	Stygimys vastus	NA	bra	NA	Stygimys vastus	1	1	0	35.58	35.58	0	0	0	43	43	-108.6	-108.6	0
32926	Rodentia	Muridae	Murinae	Mus	indutus	Mus indutus	NA	NA	NA	Mus indutus	1	1	0	3.75	3.75	0	0	0	-26.1	-26.1	27.8	27.8	0
33258	Carnivora	Mustelidae		Sinictis	lydekkeri	Sinictis lydekkeri	NA	NA	NA	Sinictis lydekkeri	2	2	2.4	3.95	1.55	0.84731517	0.66514240845	0.920497240625956	35.4	33.1	103.5	73.6	1.2
26287	Artiodactyla	Anoplotheriidae		Diplobune	secundaria	Diplobune secundaria	NA	bra	NA	Diplobune secundaria	4	3	0.66	34.5	33.84	0.33118848	0.2599829568	0.575489774018618	47.9	44.7	8.9	0.5	0.329999999999998
31199	Rodentia	Muridae	Gerbillinae	Gerbillus	dasyurus	Gerbillus dasyurus	NA	NA	NA	Gerbillus dasyurus	3	1	0.94	1.59	0.65	0.00184815	0.00145079775	0.0429901151429023	33	32.7	35.6	35.1	0.5
21048	Rodentia	Muridae	Cricetinae	Cricetulodon	sabadellensis	Cricetulodon sabadellensis	NA	NA	NA	Cricetulodon sabadellensis	5	2	1.5	9.75	8.25	0.13750236	0.1079393526	0.370813106564479	45.1	41.5	5.1	2	0.824999999999999
80499	Carnivora	Nimravidae	Nimravinae	Hoplophoneus	mentalis	Hoplophoneus mentalis	NA			Hoplophoneus mentalis	7	1	1.28	35.58	34.3	0.7589736	0.595794276	0.871190909043477	46.6	41.1	-100.8	-112	0.655000000000001
20999	Artiodactyla	Bovidae		Protoryx	enanus	Protoryx enanus	45000	bra	L2220	Protoryx enanus	2	1	0.68	12.7	12.02	0.061605	0.048359925	0.248203545502477	39.6	37.1	30.2	28.2	0.34
24434	Eulipotyphla	Soricidae	Crocidosoricinae	Miosorex	desnoyersianus	Miosorex desnoyersianus	4	NA	NA	Miosorex desnoyersianus	5	3	6.33	18.35	12.02	0.22473504	0.1764170064	0.47406227439019	50.4	47.2	13.2	7.5	4.805
31212	Rodentia	Thryonomyidae		Paraphiomys	knolli	Paraphiomys knolli	NA	NA	NA	Paraphiomys knolli	1	1	0	15.3	15.3	0	0	0	26.6	26.6	48.6	48.6	0
82641	Rodentia	Heteromyidae	Dipodomyinae	Prodipodomys	tiheni	Prodipodomys tiheni	NA	hyp	NA	Prodipodomys tiheni	2	1	2.01	3.77	1.76	0.3548448	0.278553168	0.595688509205944	39.1	37.6	-95.7	-114.9	1.005
20755	Rodentia	Muridae	Murinae	Rhagapodemus	hautimagnensis	Rhagapodemus hautimagnensis	NA	NA	NA	Rhagapodemus hautimagnensis	13	5	1.92	6.2	4.28	1.5709275	1.2331780875	1.25336646676062	44.3	39.3	24.4	-1.1	0.6525
84862	Litopterna	Proterotheriidae	Megadolodinae	Megadolodus	molariformis	Megadolodus molariformis	1800000	bra	NA	Megadolodus molariformis	1	1	0	12.5	12.5	0	0	0	3.3	3.3	-75.1	-75.1	0
20994	Artiodactyla	Bovidae		Urmiatherium	rugosifrons	Urmiatherium rugosifrons	110326	hyp	L2220	Urmiatherium rugosifrons	4	2	2.05	8.25	6.2	0.76328595	0.59917947075	0.873662377580722	37.8	34.3	44.7	27	0.8625
83671	Eulipotyphla	Sespedectidae	Scenopaginae	Scenopagus	curtidens	Scenopagus curtidens	NA	bra	NA	Scenopagus curtidens	4	1	6.58	53.25	46.67	1.18219995	0.92802696075	1.08729018665672	42.4	32.9	-107	-117.1	2.0525
