"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominini"	"22"	"0.088"	"-0.611"	"0.934"	"0.772"	"-0.394"	"0.973"	"-0.595"	"-0.922"	"0.688"	"linear"	"0.973"
"Hominidae not Hominini"	"28"	"-0.358"	"-0.204"	"0.893"	"0.383"	"-0.091"	"0.785"	"-0.651"	"-0.541"	"0.781"	"exponential"	"0.893"
"Primates"	"418"	"-0.403"	"-0.244"	"0.966"	"0.29"	"-0.053"	"0.715"	"-0.819"	"-0.731"	"0.64"	"exponential"	"0.966"
"Primates other"	"381"	"-0.427"	"-0.26"	"0.986"	"0.274"	"-0.055"	"0.771"	"-0.886"	"-0.628"	"0.604"	"exponential"	"0.986"
"Hominini"	"22"	"-0.167"	"-0.509"	"0.957"	"0.558"	"-0.28"	"0.906"	"-0.724"	"-0.512"	"0.66"	"exponential"	"0.957"
"Hominidae not Hominini"	"33"	"-0.45"	"-0.227"	"0.955"	"0.306"	"-0.07"	"0.817"	"-0.83"	"-0.486"	"0.698"	"exponential"	"0.955"
"Primates"	"436"	"-0.41"	"-0.269"	"0.989"	"0.284"	"-0.058"	"0.764"	"-0.876"	"-0.662"	"0.624"	"exponential"	"0.989"
"Primates other"	"367"	"-0.411"	"-0.249"	"0.99"	"0.277"	"-0.054"	"0.782"	"-0.848"	"-0.624"	"0.591"	"exponential"	"0.99"
"Hominini"	"23"	"-0.148"	"-0.454"	"0.914"	"0.568"	"-0.254"	"0.98"	"-0.686"	"-0.456"	"0.588"	"linear"	"0.98"
"Hominidae not Hominini"	"28"	"-0.328"	"-0.222"	"0.912"	"0.426"	"-0.11"	"0.779"	"-0.652"	"-0.631"	"0.914"	"power"	"0.914"
"Primates"	"418"	"-0.38"	"-0.261"	"0.993"	"0.298"	"-0.061"	"0.775"	"-0.819"	"-0.66"	"0.614"	"exponential"	"0.993"
"Primates other"	"368"	"-0.442"	"-0.227"	"0.968"	"0.267"	"-0.046"	"0.72"	"-0.838"	"-0.705"	"0.645"	"exponential"	"0.968"
"Hominini"	"21"	"-0.184"	"-0.501"	"0.951"	"0.527"	"-0.262"	"0.952"	"-0.73"	"-0.407"	"0.588"	"linear"	"0.952"
"Hominidae not Hominini"	"31"	"-0.421"	"-0.285"	"0.916"	"0.329"	"-0.112"	"0.962"	"-0.797"	"-0.526"	"0.787"	"linear"	"0.962"
"Primates"	"420"	"-0.429"	"-0.236"	"0.971"	"0.274"	"-0.049"	"0.715"	"-0.836"	"-0.705"	"0.642"	"exponential"	"0.971"
"Primates other"	"363"	"-0.366"	"-0.242"	"0.963"	"0.296"	"-0.053"	"0.75"	"-0.743"	"-0.829"	"0.651"	"exponential"	"0.963"
"Hominidae not Hominini"	"30"	"-0.38"	"-0.256"	"0.978"	"0.358"	"-0.093"	"0.827"	"-0.779"	"-0.687"	"0.88"	"exponential"	"0.978"
"Hominini"	"22"	"-0.076"	"-0.522"	"0.942"	"0.613"	"-0.293"	"0.927"	"-0.652"	"-0.475"	"0.516"	"exponential"	"0.942"
"Primates"	"415"	"-0.353"	"-0.253"	"0.97"	"0.313"	"-0.059"	"0.75"	"-0.766"	"-0.763"	"0.638"	"exponential"	"0.97"
"Primates other"	"365"	"-0.406"	"-0.254"	"0.98"	"0.284"	"-0.053"	"0.749"	"-0.836"	"-0.741"	"0.644"	"exponential"	"0.98"
"Hominidae not Hominini"	"27"	"-0.263"	"-0.216"	"0.945"	"0.482"	"-0.119"	"0.815"	"-0.569"	"-0.57"	"0.852"	"exponential"	"0.945"
"Hominini"	"21"	"-0.164"	"-0.543"	"0.938"	"0.508"	"-0.258"	"0.892"	"-0.722"	"-0.341"	"0.441"	"exponential"	"0.938"
"Primates"	"413"	"-0.378"	"-0.262"	"0.987"	"0.3"	"-0.058"	"0.749"	"-0.827"	"-0.689"	"0.607"	"exponential"	"0.987"
"Primates other"	"358"	"-0.381"	"-0.27"	"0.968"	"0.296"	"-0.061"	"0.803"	"-0.831"	"-0.667"	"0.599"	"exponential"	"0.968"
"Hominini"	"23"	"-0.094"	"-0.503"	"0.919"	"0.572"	"-0.262"	"0.961"	"-0.687"	"-0.87"	"0.749"	"linear"	"0.961"
"Hominidae not Hominini"	"33"	"-0.364"	"-0.362"	"0.909"	"0.319"	"-0.107"	"0.83"	"-0.815"	"-0.924"	"0.799"	"exponential"	"0.909"
"Primates"	"414"	"-0.362"	"-0.285"	"0.972"	"0.303"	"-0.065"	"0.786"	"-0.82"	"-0.707"	"0.61"	"exponential"	"0.972"
"Primates other"	"354"	"-0.42"	"-0.227"	"0.942"	"0.282"	"-0.047"	"0.672"	"-0.792"	"-0.797"	"0.658"	"exponential"	"0.942"
"Hominidae not Hominini"	"30"	"-0.375"	"-0.194"	"0.976"	"0.379"	"-0.088"	"0.87"	"-0.672"	"-0.362"	"0.706"	"exponential"	"0.976"
"Hominini"	"23"	"-0.213"	"-0.498"	"0.959"	"0.462"	"-0.217"	"0.901"	"-0.8"	"-0.809"	"0.789"	"exponential"	"0.959"
"Primates"	"407"	"-0.399"	"-0.236"	"0.957"	"0.292"	"-0.051"	"0.684"	"-0.783"	"-0.808"	"0.671"	"exponential"	"0.957"
"Primates other"	"373"	"-0.438"	"-0.232"	"0.959"	"0.273"	"-0.047"	"0.722"	"-0.858"	"-0.643"	"0.594"	"exponential"	"0.959"
"Hominini"	"23"	"-0.118"	"-0.558"	"0.94"	"0.535"	"-0.271"	"0.974"	"-0.744"	"-0.779"	"0.704"	"linear"	"0.974"
"Hominidae not Hominini"	"32"	"-0.517"	"-0.18"	"0.943"	"0.277"	"-0.062"	"0.832"	"-0.775"	"-0.527"	"0.897"	"exponential"	"0.943"
"Primates"	"428"	"-0.424"	"-0.24"	"0.968"	"0.279"	"-0.05"	"0.721"	"-0.852"	"-0.667"	"0.61"	"exponential"	"0.968"
"Primates other"	"359"	"-0.387"	"-0.262"	"0.974"	"0.294"	"-0.057"	"0.751"	"-0.853"	"-0.665"	"0.591"	"exponential"	"0.974"
"Hominidae not Hominini"	"37"	"-0.461"	"-0.247"	"0.977"	"0.298"	"-0.075"	"0.887"	"-0.881"	"-0.474"	"0.737"	"exponential"	"0.977"
"Hominini"	"24"	"0.111"	"-0.767"	"0.946"	"0.682"	"-0.4"	"0.955"	"-0.707"	"-1.306"	"0.772"	"linear"	"0.955"
"Primates"	"420"	"-0.37"	"-0.274"	"0.978"	"0.304"	"-0.061"	"0.749"	"-0.837"	"-0.707"	"0.611"	"exponential"	"0.978"
"Primates other"	"360"	"-0.333"	"-0.28"	"0.986"	"0.307"	"-0.064"	"0.86"	"-0.806"	"-0.688"	"0.572"	"exponential"	"0.986"
"Hominidae not Hominini"	"35"	"-0.346"	"-0.268"	"0.96"	"0.382"	"-0.1"	"0.819"	"-0.752"	"-0.692"	"0.845"	"exponential"	"0.96"
"Hominini"	"23"	"-0.136"	"-0.518"	"0.948"	"0.543"	"-0.262"	"0.933"	"-0.737"	"-0.834"	"0.784"	"exponential"	"0.948"
"Primates"	"418"	"-0.324"	"-0.287"	"0.989"	"0.322"	"-0.069"	"0.852"	"-0.799"	"-0.72"	"0.608"	"exponential"	"0.989"
"Primates other"	"368"	"-0.41"	"-0.246"	"0.991"	"0.275"	"-0.05"	"0.762"	"-0.808"	"-0.834"	"0.695"	"exponential"	"0.991"
"Hominidae not Hominini"	"33"	"-0.399"	"-0.217"	"0.92"	"0.36"	"-0.092"	"0.802"	"-0.717"	"-0.55"	"0.861"	"exponential"	"0.92"
"Hominini"	"23"	"-0.085"	"-0.535"	"0.855"	"0.613"	"-0.31"	"0.981"	"-0.692"	"-0.727"	"0.67"	"linear"	"0.981"
"Primates"	"424"	"-0.387"	"-0.257"	"0.992"	"0.295"	"-0.057"	"0.75"	"-0.806"	"-0.819"	"0.7"	"exponential"	"0.992"
"Primates other"	"366"	"-0.435"	"-0.24"	"0.988"	"0.263"	"-0.048"	"0.777"	"-0.843"	"-0.8"	"0.695"	"exponential"	"0.988"
"Hominidae not Hominini"	"29"	"-0.28"	"-0.225"	"0.918"	"0.421"	"-0.093"	"0.962"	"-0.663"	"-0.612"	"0.727"	"linear"	"0.962"
"Hominini"	"22"	"-0.154"	"-0.47"	"0.934"	"0.553"	"-0.254"	"0.964"	"-0.689"	"-0.377"	"0.522"	"linear"	"0.964"
"Primates"	"417"	"-0.396"	"-0.252"	"0.99"	"0.287"	"-0.054"	"0.789"	"-0.842"	"-0.716"	"0.64"	"exponential"	"0.99"
"Primates other"	"367"	"-0.459"	"-0.233"	"0.947"	"0.264"	"-0.046"	"0.687"	"-0.852"	"-0.709"	"0.631"	"exponential"	"0.947"
"Hominidae not Hominini"	"32"	"-0.376"	"-0.43"	"0.931"	"0.363"	"-0.159"	"0.94"	"-0.922"	"-0.457"	"0.692"	"linear"	"0.94"
"Hominini"	"22"	"-0.063"	"-0.576"	"0.902"	"0.657"	"-0.359"	"0.976"	"-0.692"	"-0.694"	"0.697"	"linear"	"0.976"
"Primates"	"421"	"-0.44"	"-0.247"	"0.944"	"0.278"	"-0.051"	"0.668"	"-0.858"	"-0.702"	"0.632"	"exponential"	"0.944"
"Primates other"	"377"	"-0.489"	"-0.217"	"0.943"	"0.248"	"-0.041"	"0.672"	"-0.836"	"-0.851"	"0.725"	"exponential"	"0.943"
"Hominidae not Hominini"	"35"	"-0.481"	"-0.219"	"0.962"	"0.296"	"-0.068"	"0.824"	"-0.859"	"-0.461"	"0.756"	"exponential"	"0.962"
"Hominini"	"21"	"-0.16"	"-0.649"	"0.922"	"0.52"	"-0.322"	"0.956"	"-0.795"	"-0.598"	"0.629"	"linear"	"0.956"
"Primates"	"433"	"-0.474"	"-0.228"	"0.956"	"0.259"	"-0.045"	"0.679"	"-0.864"	"-0.772"	"0.694"	"exponential"	"0.956"
"Primates other"	"364"	"-0.318"	"-0.316"	"0.959"	"0.317"	"-0.075"	"0.915"	"-0.841"	"-0.675"	"0.559"	"exponential"	"0.959"
"Hominidae not Hominini"	"30"	"-0.332"	"-0.248"	"0.947"	"0.367"	"-0.088"	"0.867"	"-0.683"	"-0.744"	"0.79"	"exponential"	"0.947"
"Hominini"	"20"	"-0.068"	"-0.546"	"0.945"	"0.604"	"-0.299"	"0.941"	"-0.683"	"-0.751"	"0.693"	"exponential"	"0.945"
"Primates"	"414"	"-0.302"	"-0.321"	"0.96"	"0.332"	"-0.079"	"0.905"	"-0.815"	"-0.699"	"0.572"	"exponential"	"0.96"
"Primates other"	"372"	"-0.464"	"-0.206"	"0.956"	"0.27"	"-0.042"	"0.672"	"-0.837"	"-0.666"	"0.635"	"exponential"	"0.956"
"Hominini"	"24"	"-0.053"	"-0.525"	"0.936"	"0.645"	"-0.308"	"0.962"	"-0.659"	"-0.707"	"0.68"	"linear"	"0.962"
"Hominidae not Hominini"	"32"	"-0.36"	"-0.281"	"0.979"	"0.355"	"-0.098"	"0.885"	"-0.765"	"-0.751"	"0.856"	"exponential"	"0.979"
"Primates"	"428"	"-0.439"	"-0.219"	"0.955"	"0.285"	"-0.047"	"0.656"	"-0.824"	"-0.689"	"0.644"	"exponential"	"0.955"
