"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominini"	"12"	"0.188"	"-0.529"	"0.852"	"0.98"	"-0.451"	"0.987"	"-0.427"	"-0.877"	"0.632"	"linear"	"0.987"
"Primates"	"425"	"-0.313"	"-0.278"	"0.985"	"0.319"	"-0.065"	"0.813"	"-0.768"	"-0.691"	"0.566"	"exponential"	"0.985"
"Primates other"	"359"	"-0.313"	"-0.297"	"0.977"	"0.323"	"-0.071"	"0.862"	"-0.785"	"-0.795"	"0.64"	"exponential"	"0.977"
"Hominini"	"13"	"0.252"	"-0.583"	"0.947"	"0.939"	"-0.424"	"0.936"	"-0.381"	"-1.603"	"0.902"	"exponential"	"0.947"
"Hominidae not Hominini"	"36"	"-0.367"	"-0.263"	"0.948"	"0.359"	"-0.094"	"0.91"	"-0.787"	"-0.497"	"0.684"	"exponential"	"0.948"
"Primates"	"408"	"-0.289"	"-0.308"	"0.981"	"0.34"	"-0.077"	"0.863"	"-0.769"	"-0.826"	"0.65"	"exponential"	"0.981"
"Primates other"	"370"	"-0.329"	"-0.315"	"0.98"	"0.322"	"-0.075"	"0.857"	"-0.868"	"-0.636"	"0.572"	"exponential"	"0.98"
"Hominidae not Hominini"	"36"	"-0.393"	"-0.204"	"0.981"	"0.361"	"-0.086"	"0.9"	"-0.724"	"-0.377"	"0.72"	"exponential"	"0.981"
"Hominini"	"11"	"0.414"	"-0.671"	"0.916"	"1.136"	"-0.546"	"0.956"	"-0.296"	"-1.805"	"0.855"	"linear"	"0.956"
"Primates"	"417"	"-0.303"	"-0.317"	"0.984"	"0.338"	"-0.079"	"0.859"	"-0.84"	"-0.63"	"0.566"	"exponential"	"0.984"
"Primates other"	"362"	"-0.353"	"-0.252"	"0.983"	"0.304"	"-0.055"	"0.768"	"-0.744"	"-0.896"	"0.693"	"exponential"	"0.983"
"Hominini"	"13"	"0.077"	"-0.512"	"0.893"	"0.876"	"-0.424"	"0.984"	"-0.503"	"-0.559"	"0.575"	"linear"	"0.984"
"Hominidae not Hominini"	"34"	"-0.423"	"-0.455"	"0.98"	"0.3"	"-0.135"	"0.952"	"-0.952"	"-0.475"	"0.631"	"exponential"	"0.98"
"Primates"	"409"	"-0.35"	"-0.262"	"0.986"	"0.313"	"-0.059"	"0.756"	"-0.779"	"-0.802"	"0.656"	"exponential"	"0.986"
"Primates other"	"364"	"-0.477"	"-0.239"	"0.957"	"0.239"	"-0.043"	"0.748"	"-0.889"	"-0.67"	"0.59"	"exponential"	"0.957"
"Hominidae not Hominini"	"35"	"-0.229"	"-0.258"	"0.932"	"0.475"	"-0.119"	"0.888"	"-0.618"	"-0.627"	"0.726"	"exponential"	"0.932"
"Hominini"	"13"	"0.243"	"-0.598"	"0.939"	"0.989"	"-0.474"	"0.949"	"-0.424"	"-1.316"	"0.816"	"linear"	"0.949"
"Primates"	"412"	"-0.417"	"-0.253"	"0.962"	"0.275"	"-0.053"	"0.749"	"-0.843"	"-0.691"	"0.607"	"exponential"	"0.962"
"Hominini"	"13"	"-0.136"	"-0.32"	"0.958"	"0.663"	"-0.272"	"0.975"	"-0.514"	"-0.363"	"0.76"	"linear"	"0.975"
