"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominidae not Hominini"	"32"	"-0.633"	"-0.923"	"0.958"	"-0.733"	"-0.888"	"0.837"	"0.219"	"-0.227"	"0.775"	"0.191"	"-0.201"	"0.572"	"-1.328"	"-0.501"	"0.908"	"Exponential"	"0.958"
"Primates"	"422"	"-0.589"	"-0.338"	"0.854"	"-0.785"	"-0.038"	"0.472"	"0.244"	"-0.067"	"0.473"	"0.202"	"-0.006"	"0.146"	"-1.154"	"-0.711"	"0.815"	"Exponential"	"0.854"
"Primates other"	"357"	"-0.478"	"-0.546"	"0.975"	"-0.729"	"-0.132"	"0.679"	"0.27"	"-0.12"	"0.701"	"0.208"	"-0.023"	"0.299"	"-1.141"	"-0.664"	"0.715"	"Exponential"	"0.975"
"Hominidae not Hominini"	"31"	"-0.575"	"-0.987"	"0.946"	"-0.688"	"-0.934"	"0.807"	"0.248"	"-0.268"	"0.742"	"0.214"	"-0.232"	"0.529"	"-1.335"	"-0.585"	"0.934"	"Exponential"	"0.946"
"Hominini"	"17"	"-0.397"	"-0.091"	"0.839"	"-0.441"	"-0.01"	"0.765"	"0.409"	"-0.044"	"0.618"	"0.384"	"-0.005"	"0.503"	"-0.704"	"-0.308"	"0.872"	"Power"	"0.872"
"Primates"	"405"	"-0.603"	"-0.313"	"0.837"	"-0.795"	"-0.033"	"0.47"	"0.238"	"-0.061"	"0.46"	"0.196"	"-0.005"	"0.141"	"-1.127"	"-0.643"	"0.767"	"Exponential"	"0.837"
"Hominidae not Hominini"	"31"	"-0.539"	"-1.496"	"0.953"	"-0.69"	"-2.112"	"0.874"	"0.248"	"-0.387"	"0.797"	"0.206"	"-0.51"	"0.637"	"-1.513"	"-0.799"	"0.943"	"Exponential"	"0.953"
"Primates other"	"359"	"-0.476"	"-0.502"	"0.937"	"-0.714"	"-0.099"	"0.597"	"0.285"	"-0.116"	"0.606"	"0.224"	"-0.017"	"0.224"	"-1.131"	"-0.728"	"0.773"	"Exponential"	"0.937"
"Hominini"	"22"	"-0.472"	"-0.105"	"0.862"	"-0.532"	"-0.012"	"0.73"	"0.343"	"-0.041"	"0.606"	"0.316"	"-0.004"	"0.436"	"-0.809"	"-0.301"	"0.875"	"Power"	"0.875"
"Primates"	"412"	"-0.572"	"-0.324"	"0.852"	"-0.759"	"-0.037"	"0.496"	"0.255"	"-0.067"	"0.455"	"0.212"	"-0.006"	"0.148"	"-1.119"	"-0.687"	"0.804"	"Exponential"	"0.852"
"Primates other"	"362"	"-0.482"	"-0.521"	"0.932"	"-0.739"	"-0.094"	"0.526"	"0.278"	"-0.118"	"0.65"	"0.214"	"-0.016"	"0.205"	"-1.137"	"-0.688"	"0.739"	"Exponential"	"0.932"
"Hominidae not Hominini"	"30"	"-0.564"	"-0.938"	"0.97"	"-0.693"	"-0.852"	"0.845"	"0.246"	"-0.252"	"0.817"	"0.207"	"-0.208"	"0.591"	"-1.282"	"-0.572"	"0.885"	"Exponential"	"0.97"
"Hominini"	"20"	"-0.458"	"-0.1"	"0.936"	"-0.541"	"-0.011"	"0.808"	"0.338"	"-0.039"	"0.736"	"0.301"	"-0.004"	"0.54"	"-0.728"	"-0.31"	"0.758"	"Exponential"	"0.936"
"Primates"	"412"	"-0.576"	"-0.326"	"0.849"	"-0.768"	"-0.036"	"0.479"	"0.25"	"-0.066"	"0.48"	"0.207"	"-0.005"	"0.149"	"-1.115"	"-0.658"	"0.774"	"Exponential"	"0.849"
"Primates other"	"364"	"-0.525"	"-0.476"	"0.893"	"-0.761"	"-0.074"	"0.486"	"0.264"	"-0.102"	"0.575"	"0.209"	"-0.012"	"0.172"	"-1.16"	"-0.688"	"0.752"	"Exponential"	"0.893"
"Hominidae not Hominini"	"33"	"-0.561"	"-1.502"	"0.938"	"-0.676"	"-2.348"	"0.88"	"0.249"	"-0.4"	"0.791"	"0.215"	"-0.583"	"0.643"	"-1.48"	"-0.669"	"0.92"	"Exponential"	"0.938"
"Hominini"	"21"	"-0.426"	"-0.102"	"0.888"	"-0.495"	"-0.011"	"0.774"	"0.372"	"-0.043"	"0.664"	"0.339"	"-0.004"	"0.496"	"-0.719"	"-0.309"	"0.786"	"Exponential"	"0.888"
"Primates"	"418"	"-0.602"	"-0.304"	"0.828"	"-0.774"	"-0.034"	"0.492"	"0.243"	"-0.06"	"0.446"	"0.205"	"-0.005"	"0.151"	"-1.142"	"-0.671"	"0.801"	"Exponential"	"0.828"
"Hominidae not Hominini"	"34"	"-0.621"	"-1.479"	"0.975"	"-0.751"	"-2.191"	"0.872"	"0.215"	"-0.349"	"0.815"	"0.181"	"-0.472"	"0.609"	"-1.45"	"-0.563"	"0.888"	"Exponential"	"0.975"
"Primates other"	"365"	"-0.48"	"-0.503"	"0.936"	"-0.744"	"-0.088"	"0.536"	"0.277"	"-0.113"	"0.64"	"0.212"	"-0.015"	"0.211"	"-1.131"	"-0.721"	"0.748"	"Exponential"	"0.936"
"Hominini"	"23"	"-0.474"	"-0.106"	"0.804"	"-0.521"	"-0.012"	"0.714"	"0.347"	"-0.041"	"0.542"	"0.326"	"-0.005"	"0.42"	"-0.81"	"-0.335"	"0.875"	"Power"	"0.875"
"Primates"	"422"	"-0.587"	"-0.321"	"0.851"	"-0.78"	"-0.037"	"0.502"	"0.244"	"-0.063"	"0.469"	"0.201"	"-0.005"	"0.157"	"-1.124"	"-0.69"	"0.786"	"Exponential"	"0.851"
"Hominini"	"22"	"-0.391"	"-0.119"	"0.855"	"-0.451"	"-0.013"	"0.69"	"0.419"	"-0.054"	"0.561"	"0.387"	"-0.005"	"0.376"	"-0.787"	"-0.328"	"0.926"	"Power"	"0.926"
"Primates other"	"366"	"-0.539"	"-0.462"	"0.913"	"-0.777"	"-0.077"	"0.542"	"0.251"	"-0.093"	"0.587"	"0.198"	"-0.012"	"0.197"	"-1.171"	"-0.718"	"0.766"	"Exponential"	"0.913"
"Hominidae not Hominini"	"32"	"-0.476"	"-1.553"	"0.974"	"-0.672"	"-2.173"	"0.968"	"0.25"	"-0.376"	"0.907"	"0.199"	"-0.497"	"0.808"	"-1.545"	"-0.992"	"0.913"	"Exponential"	"0.974"
"Primates"	"420"	"-0.611"	"-0.307"	"0.854"	"-0.791"	"-0.035"	"0.517"	"0.234"	"-0.058"	"0.466"	"0.196"	"-0.005"	"0.162"	"-1.148"	"-0.665"	"0.794"	"Exponential"	"0.854"
"Primates other"	"360"	"-0.529"	"-0.453"	"0.905"	"-0.783"	"-0.07"	"0.513"	"0.257"	"-0.095"	"0.591"	"0.198"	"-0.011"	"0.185"	"-1.151"	"-0.703"	"0.752"	"Exponential"	"0.905"
"Hominini"	"22"	"-0.453"	"-0.113"	"0.907"	"-0.529"	"-0.012"	"0.735"	"0.351"	"-0.045"	"0.657"	"0.317"	"-0.004"	"0.439"	"-0.781"	"-0.325"	"0.864"	"Exponential"	"0.907"
"Primates"	"416"	"-0.603"	"-0.312"	"0.86"	"-0.801"	"-0.036"	"0.516"	"0.235"	"-0.06"	"0.484"	"0.193"	"-0.005"	"0.164"	"-1.134"	"-0.667"	"0.78"	"Exponential"	"0.86"
"Primates other"	"367"	"-0.441"	"-0.564"	"0.966"	"-0.697"	"-0.135"	"0.658"	"0.294"	"-0.133"	"0.691"	"0.225"	"-0.025"	"0.279"	"-1.129"	"-0.727"	"0.748"	"Exponential"	"0.966"
"Hominidae not Hominini"	"33"	"-0.578"	"-1"	"0.933"	"-0.69"	"-0.908"	"0.776"	"0.249"	"-0.27"	"0.703"	"0.215"	"-0.222"	"0.482"	"-1.342"	"-0.573"	"0.93"	"Exponential"	"0.933"
"Hominini"	"22"	"-0.404"	"-0.108"	"0.854"	"-0.466"	"-0.012"	"0.729"	"0.4"	"-0.048"	"0.592"	"0.368"	"-0.005"	"0.43"	"-0.733"	"-0.35"	"0.872"	"Power"	"0.872"
"Primates"	"422"	"-0.569"	"-0.324"	"0.844"	"-0.766"	"-0.035"	"0.474"	"0.255"	"-0.067"	"0.461"	"0.21"	"-0.005"	"0.14"	"-1.114"	"-0.706"	"0.803"	"Exponential"	"0.844"
"Primates other"	"377"	"-0.516"	"-0.454"	"0.934"	"-0.75"	"-0.077"	"0.567"	"0.261"	"-0.096"	"0.611"	"0.206"	"-0.012"	"0.212"	"-1.132"	"-0.698"	"0.76"	"Exponential"	"0.934"
