"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"sp_area_chull"	"sp_area_geosphere"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
29942	Artiodactyla	Cervidae		Capreolus	manchuricus	Capreolus	NA	bra	L2220	Capreolus	235	28	4.86	4.87	0.01	56.00781612	43.9661356542	7.48383699181109	40.16485827	24.7388598620528	65.1	32.7	133.1	-7.2	0.29
85929	Rodentia	Muridae	Myospalacinae	Myospalax	prosilurus	Myospalax	NA	NA	NA	Myospalax	59	2	2.19	2.2	0.01	9.1150758	7.155334503	3.01911838124973	4.77500355	3.59269108220898	52	24.6	127.6	100.6	0.304
84895	Pilosa	Nothrotheriidae	NA	Mcdonaldocnus	bondesioi	Mcdonaldocnus	NA	NA	NA	Mcdonaldocnus	4	2	7.75	17	9.25	2.54034378	1.9941698673	1.59384559478012	1.561132305	1.29974334838017	-17.3	-51.1	-63	-69.1	4.0425
84904	Rodentia	Dinomyidae	NA	Tetrastylus	indet.	Tetrastylus	NA	NA	NA	Tetrastylus	4	3	3.67	9.92	6.25	3.52565415	2.76763850775	1.87767253534795	0.208101690000001	0.307965124644546	-9.1	-38.6	-63	-72.7	2.375
84928	Cingulata	Pampatheriidae	NA	Kraglievichia	indet.	Kraglievichia	NA	NA	NA	Kraglievichia	3	3	1.92	9.92	8	3.52565415	2.76763850775	1.87767253534795	0.182412405	0.249631970675381	-9.1	-38.6	-63	-72.7	0.625
84982	Rodentia	Caviidae	Dolichotiinae	Prodolichotis	prisca	Prodolichotis	NA	NA	NA	Prodolichotis	5	4	7.3	12.8	5.5	6.98378922	5.4822745377	2.64268598588633	0.714001950000001	0.550983546518624	3.3	-39	-61.7	-75.1	3.5
85441	Sparassodonta	Hathliacynidae		Borhyaenidium	altiplanicus	Borhyaenidium	NA	NA	NA	Borhyaenidium	3	2	6.22	9.92	3.7	1.27497708	1.0008570078	1.12914882987142	0.0474358499999999	0.015932231515709	-17.3	-37.2	-63.8	-69	4.01
85943	Notoungulata	Toxodontidae		Hoffstetterius	imperator	Hoffstetterius	NA	NA	NA	Hoffstetterius	1	1	0	9.92	9.92	0	0	0	0	0	-17.3	-17.3	-69	-69	0
85944	Notoungulata	Mesotheriidae	Mesotheriinae	Plesiotypotherium	achirense	Plesiotypotherium	NA	NA	NA	Plesiotypotherium	3	1	2.83	12.75	9.92	0.20847132	0.1636499862	0.45658659638671	0	0	-17.3	-22	-65.4	-69	0.943333333333333
85946	Notoungulata	Hegetotheriidae	Hegetotheriinae	Hemihegetotherium	sp.	Hemihegetotherium	NA	NA	NA	Hemihegetotherium	4	2	6.5	12.75	6.25	1.5746238	1.236079683	1.25484014918236	0.29866104	0.302554945809584	-17.3	-38.6	-63	-69	3.335
85947	Cingulata	Glyptodontidae		Trachycalyptoides	achirense	Trachycalyptoides	NA	NA	NA	Trachycalyptoides	2	2	4.42	9.92	5.5	1.95176961	1.53213914385	1.39705748271143	0	0	-17.3	-39	-61.7	-69	2.21
85948	Cingulata	Dasypodidae		Chorobates	indet.	Chorobates	NA	NA	NA	Chorobates	8	2	6.02	9.92	3.9	3.04796898	2.3926556493	1.74584334348761	0.668968695	0.493880495842266	-17.3	-39	-57.6	-69	3.048
85949	Pilosa	Mylodontidae		Proscelidodon	sp.	Proscelidodon	NA	NA	NA	Proscelidodon	4	2	6.25	9.92	3.67	3.04796898	2.3926556493	1.74584334348761	0.87084828	0.768850690704112	-17.3	-39	-57.6	-69	3.64
85951	Rodentia	Caviidae	Hydrochoerinae	Cardiomys	indet.	Cardiomys	NA	NA	NA	Cardiomys	6	2	6.02	9.92	3.9	3.04796898	2.3926556493	1.74584334348761	0.74887038	0.594113081427379	-17.3	-39	-57.6	-69	3.41
85952	Rodentia	Chinchillidae		Lagostomus	indet.	Lagostomus	NA	NA	NA	Lagostomus	7	2	9.45	9.92	0.47	1.95176961	1.53213914385	1.39705748271143	0.16929054	0.13213061565463	-17.3	-39	-61.7	-69	6.798
86096	Notoungulata	Toxodontidae		Andinotoxodon	bolivarensis	Andinotoxodon	NA	NA	NA	Andinotoxodon	1	1	0	9.92	9.92	0	0	0	0	0	-17.3	-17.3	-69	-69	0
21270	Proboscidea	Gomphotheriidae		Gomphotherium	angustidens	Gomphotherium	3629130	bra	RMM00	Gomphotherium	242	33	29.9	30.86	0.96	264.63438072	207.7379888652	16.2675868130464	160.87049181	169.739036269609	54.5	-28.3	137.1	-122.3	12.9075
20025	Carnivora	Herpestidae		Leptoplesictis	aurelianensis	Leptoplesictis	406	NA	NA	Leptoplesictis	18	4	18.42	30.4	11.98	1.09114776	0.8565509916	1.04458018361445	0.520500645	0.352119998503536	48.6	41.4	11.8	-0.5	2.9425
20153	Carnivora	Hyaenidae		Thalassictis	montadai	Thalassictis	31000	NA	NA	Thalassictis	51	10	8.7	13.85	5.15	21.15466416	16.6064113656	4.59941998082367	16.02173556	3.17328350827233	50.2	35.5	112.9	-3.9	0.7875
20331	Eulipotyphla	Dimylidae		Plesiodimylus	chantrei	Plesiodimylus	40	NA	NA	Plesiodimylus	140	13	11.23	19.48	8.25	4.84671177	3.80466873945	2.20152487380906	3.636235125	2.47594858747984	51.2	37.3	27.8	-0.5	4.32666666666667
