"species"	"hexcount"
"Lonchorhina"	"5058"
"Lophostoma"	"4255"
"Macroderma"	"1943"
"Macroglossus"	"3663"
"Macrophyllum"	"5599"
"Macrotus"	"967"
"Megaderma"	"4331"
"Megaerops"	"1637"
"Megaloglossus"	"1626"
"Melonycteris"	"197"
"Mesophylla"	"3781"
"Micronycteris"	"5971"
"Micropteropus"	"2605"
"Mimetillus"	"1946"
"Mimon"	"5327"
"Miniopterus"	"9318"
"Mirimiri"	"23"
"Molossops"	"5461"
"Molossus"	"7270"
"Monophyllus"	"287"
"Mops"	"6106"
"Mormoops"	"2207"
"Mormopterus"	"3954"
"Mosia"	"974"
"Murina"	"5481"
"Musonycteris"	"62"
"Myonycteris"	"2169"
"Myopterus"	"1738"
"Myotis"	"36197"
"Mystacina"	"225"
"Myzopoda"	"156"
"Nanonycteris"	"831"
"Natalus"	"3452"
"Neonycteris"	"12"
"Neopteryx"	"10"
"Neoromicia"	"7519"
"Noctilio"	"6625"
"Notopteris"	"82"
"Nyctalus"	"6056"
"Nycteris"	"9339"
"Nycticeinops"	"2971"
"Nycticeius"	"1427"
"Nyctiellus"	"141"
"Nyctimene"	"1480"
"Nyctinomops"	"7656"
"Nyctophilus"	"3626"
"Otomops"	"3384"
"Otonycteris"	"927"
"Otopteropus"	"109"
"Paranyctimene"	"478"
"Paratriaenops"	"90"
"Paremballonura"	"263"
"Penthetor"	"744"
"Peropteryx"	"5707"
"Pharotis"	"6"
"Philetor"	"1039"
"Phoniscus"	"964"
"Phylloderma"	"4784"
"Phyllonycteris"	"216"
"Phyllops"	"184"
"Phyllostomus"	"5572"
"Pipistrellus"	"23883"
"Platalina"	"240"
"Platymops"	"169"
"Platyrrhinus"	"6072"
"Plecotus"	"7579"
"Plerotes"	"408"
"Promops"	"4374"
"Ptenochirus"	"289"
"Pteralopex"	"77"
"Pteronotus"	"4809"
"Pteropus"	"7163"
"Pygoderma"	"1401"
"Rhinolophus"	"19965"
"Rhinonicteris"	"452"
"Rhinophylla"	"3788"
"Rhinopoma"	"8592"
"Rhogeessa"	"3284"
"Rhynchonycteris"	"4982"
"Rousettus"	"8433"
"Saccolaimus"	"5454"
"Saccopteryx"	"5863"
"Sauromys"	"517"
"Scleronycteris"	"490"
"Scoteanax"	"273"
"Scotoecus"	"3038"
"Scotomanes"	"1330"
"Scotonycteris"	"1013"
"Scotophilus"	"10925"
"Scotorepens"	"3252"
"Scotozous"	"887"
"Sphaerias"	"378"
"Sphaeronycteris"	"1988"
"Stenoderma"	"19"
"Sturnira"	"6975"
"Styloctenium"	"198"
"Syconycteris"	"947"
"Tadarida"	"13499"
"Taphozous"	"11265"
"Thoopterus"	"216"
"Thyroptera"	"4445"
"Tomopeas"	"110"
"Tonatia"	"4248"
"Trachops"	"5506"
"Triaenops"	"1043"
"Trinycteris"	"2107"
"Tylonycteris"	"2746"
"Uroderma"	"5635"
"Vampyressa"	"2751"
"Vampyriscus"	"3083"
"Vampyrodes"	"3617"
"Vampyrum"	"2545"
"Vespadelus"	"3182"
"Vespertilio"	"7641"
"Xeronycteris"	"69"
