"species"	"hexcount"
"Rucervus_duvaucelii_Centroid"	818
"Rucervus_eldii_Centroid"	564
"Rucervus_schomburgki_Centroid"	106
"Rupicapra_pyrenaica_Centroid"	65
"Rupicapra_rupicapra_Centroid"	465
"Rusa_alfredi_Centroid"	64
"Rusa_marianna_Centroid"	248
"Rusa_timorensis_Centroid"	109
"Rusa_unicolor_Centroid"	3827
"Rusingoryx_atopocranion_Centroid"	2560
"Saiga_tatarica_Centroid"	4786
"Sangamona_fugitiva_Centroid"	2626
"Sinomegaceros_ordosianus_Centroid"	803
"Sinomegaceros_yabei_Centroid"	239
"Sivacobus_sankaliai_Centroid"	1047
"Soergelia_minor_Centroid"	5339
"Spirocerus_kiakhtensis_Centroid"	2020
"Stockoceros_conklingi_Centroid"	1884
"Sus_ahoenobarbus_Centroid"	43
"Sus_barbatus_Centroid"	760
"Sus_brachgnathus_Centroid"	112
"Sus_bucculentus_Centroid"	193
"Sus_cebifrons_Centroid"	64
"Sus_celebensis_Centroid"	196
"Sus_oliveri_Centroid"	18
"Sus_philippensis_Centroid"	238
"Sus_scrofa_Centroid"	15619
"Sus_verrucosus_Centroid"	97
"Sylvicapra_grimmia_Centroid"	5998
"Syncerus_caffer_Centroid"	5599
"Tayassu_pecari_Centroid"	6035
"Tetracerus_quadricornis_Centroid"	952
"Tetrameryx_shuleri_Centroid"	1530
"Tragelaphus_angasii_Centroid"	243
"Tragelaphus_buxtoni_Centroid"	31
"Tragelaphus_derbianus_Centroid"	1259
"Tragelaphus_eurycerus_Centroid"	1104
"Tragelaphus_imberbis_Centroid"	784
"Tragelaphus_oryx_Centroid"	3046
"Tragelaphus_scriptus_Centroid"	5608
"Tragelaphus_spekii_Centroid"	2177
"Tragelaphus_strepsiceros_Centroid"	3045
"Tragulus_javanicus_Centroid"	120
"Tragulus_kanchil_Centroid"	1408
"Tragulus_napu_Centroid"	933
"Tragulus_nigricans_Centroid"	7
"Tragulus_versicolor_Centroid"	70
"Tragulus_williamsoni_Centroid"	22
"Vicugna_vicugna_Centroid"	500
"Ceratotherium_simum_Centroid"	1538
"Coelodonta_antiquitatis_Centroid"	7189
"Dicerorhinus_sumatrensis_Centroid"	2335
"Diceros_bicornis_Centroid"	4908
"Elasmotherium_sibiricum_Centroid"	1595
"Equus_africanus_Centroid"	2954
